id,retweets,favorite_tweet,followers_user,favourites_user
892420643555336193,7473,35391,8898085,145993
892177421306343426,5547,30632,8898085,145993
891815181378084864,3671,23039,8898085,145993
891689557279858688,7647,38677,8898085,145993
891327558926688256,8248,36959,8898085,145993
891087950875897856,2759,18631,8898085,145993
890971913173991426,1792,10825,8898085,145993
890729181411237888,16721,59632,8898085,145993
890609185150312448,3815,25642,8898085,145993
890240255349198849,6489,29256,8898085,145993
890006608113172480,6498,28200,8898085,145993
889880896479866881,4414,25661,8898085,145993
889665388333682689,8858,44073,8898085,145993
889638837579907072,3966,24795,8898086,145993
889531135344209921,1998,13949,8898086,145993
889278841981685760,4717,23147,8898086,145993
888917238123831296,3977,26756,8898086,145993
888804989199671297,3746,23478,8898087,145993
888554962724278272,3064,18106,8898087,145993
888078434458587136,3073,20008,8898087,145993
887705289381826560,4783,27815,8898087,145993
887517139158093824,10431,42610,8898087,145993
887473957103951883,15926,63051,8898087,145993
887343217045368832,9332,30934,8898087,145993
887101392804085760,5281,28143,8898087,145993
886983233522544640,6776,31973,8898087,145993
886736880519319552,2824,10980,8898087,145993
886680336477933568,3967,20664,8898087,145993
886366144734445568,2805,19406,8898087,145993
886267009285017600,4,110,8898087,145993
886258384151887873,5605,25690,8898087,145993
886054160059072513,96,0,8898087,145993
885984800019947520,5951,29932,8898087,145993
885528943205470208,5665,33022,8898087,145993
885518971528720385,3306,18813,8898087,145993
885311592912609280,16387,0,8898087,145993
885167619883638784,3869,20084,8898087,145993
884925521741709313,15985,70675,8898088,145993
884876753390489601,4946,25539,8898088,145993
884562892145688576,4164,22331,8898088,145993
884441805382717440,5053,24903,8898088,145993
884247878851493888,17980,66566,8898088,145993
884162670584377345,2652,18757,8898088,145993
883838122936631299,3028,20072,8898088,145993
883482846933004288,8751,42089,8898088,145993
883360690899218434,3266,20841,8898089,145993
883117836046086144,5881,34047,8898089,145993
882992080364220416,3438,21941,8898089,145993
882762694511734784,4326,25948,8898089,145993
882627270321602560,5377,25731,8898089,145993
882268110199369728,10277,41161,8898089,145993
882045870035918850,4314,26930,8898089,145993
881906580714921986,3017,22396,8898089,145993
881666595344535552,9464,46548,8898089,145993
881633300179243008,7,116,8898089,145993
881536004380872706,14193,45446,8898089,145993
881268444196462592,4699,21411,8898089,145993
880935762899988482,2483,15723,8898089,145993
880872448815771648,3395,19569,8898089,145993
880465832366813184,5514,26151,8898089,145993
880221127280381952,3685,24757,8898089,145993
880095782870896641,3863,25398,8898089,145993
879862464715927552,3089,20578,8898089,145993
879674319642796034,10,292,8898089,145993
879492040517615616,2817,21599,8898089,145993
879415818425184262,39576,97150,8898708,145993
879376492567855104,2777,15488,8898089,145993
879130579576475649,6048,0,8898089,145993
879050749262655488,4173,20736,8898089,145993
879008229531029506,2378,17496,8898089,145993
878776093423087618,3635,17834,8898089,145993
878604707211726852,6276,27663,8898089,145993
878404777348136964,1131,0,8898089,145993
878316110768087041,5896,0,8898089,145993
878281511006478336,1131,7110,8898089,145993
878057613040115712,6048,38768,8898090,145993
877736472329191424,16814,72809,8898090,145993
877611172832227328,71,0,8898709,145993
877556246731214848,3391,20897,8898090,145993
877316821321428993,4633,25255,8898090,145993
877201837425926144,4949,24958,8898090,145993
876838120628539392,2965,19061,8898090,145993
876537666061221889,4186,21877,8898090,145993
876484053909872640,2105,17310,8898090,145993
876120275196170240,4150,25806,8898090,145993
875747767867523072,3806,23146,8898090,145993
875144289856114688,4378,20245,8898090,145993
875097192612077568,5427,25322,8898090,145993
875021211251597312,4201,23541,8898090,145993
874680097055178752,4137,25670,8898090,145993
874434818259525634,12962,0,8898090,145993
874296783580663808,3684,24027,8898090,145993
874057562936811520,3557,20980,8898090,145993
874012996292530176,9118,31558,8898090,145993
873580283840344065,3524,22365,8898090,145993
873337748698140672,1412,0,8898090,145993
873213775632977920,1412,6610,8898090,145993
872967104147763200,4845,25171,8898090,145993
872820683541237760,3333,13630,8898090,145993
872620804844003328,3260,19168,8898090,145993
872486979161796608,8125,37720,8898090,145993
872122724285648897,7262,31661,8898090,145993
871879754684805121,9801,34735,8898090,145993
871762521631449091,3131,18711,8898090,145993
871515927908634625,3123,18704,8898090,145993
871166179821445120,5131,0,8898057,145993
871102520638267392,4959,19377,8898057,145993
871032628920680449,3431,21081,8898057,145993
870804317367881728,5571,31214,8898057,145993
870726314365509632,3,113,8898057,145993
870656317836468226,2351,11419,8898057,145993
870374049280663552,23969,77111,8898057,145993
870308999962521604,3744,20361,8898057,145993
870063196459192321,7498,33884,8898057,145993
869772420881756160,9157,39575,8898057,145993
869702957897576449,5682,26217,8898057,145993
869596645499047938,2807,14832,8898057,145993
869227993411051520,3402,18975,8898057,145993
868880397819494401,13036,60741,8898057,145993
868639477480148993,1872,0,8898057,145993
868622495443632128,4779,24757,8898057,145993
868552278524837888,1872,9370,8898057,145993
867900495410671616,3795,22554,8898057,145993
867774946302451713,6649,31646,8898057,145993
867421006826221569,2264,14985,8898057,145993
